Open,High,Low,Close,Volume,Avg_Price,EMA_SMA_Diff_Avg,RSI_Avg,MACD_Avg,MACD_Diff_Avg,Bollinger_BB_Avg,ATR_Avg,OBV14_Avg,Target_Avg
2569.989990234375,2711.330078125,2492.3701171875,2711.02001953125,8299070000,2621.1775512695312,-26.397422825691137,23.824977055656063,-203.6703576710279,-63.682713726218026,725.1091182419887,120.99447661468842,-2494432857.142857,2621.1775512695312
2508.590087890625,2562.97998046875,2380.93994140625,2386.1298828125,7805450000,2459.6599731445312,-33.93409027240705,19.79409775382699,-232.75921773920481,-74.21725903551595,814.202697696961,129.5118432753022,-4780878571.428572,2459.6599731445312
2425.659912109375,2553.929931640625,2367.0400390625,2529.18994140625,8370250000,2468.9549560546875,-36.305062306491436,20.62635410376444,-254.54651464217022,-76.80364475078508,861.3295945900463,133.61027536836096,-6077688571.428572,2468.9549560546875
2436.5,2453.570068359375,2280.52001953125,2398.10009765625,8799300000,2392.1725463867188,-44.46608585349804,18.883242534905207,-277.63838771522205,-79.91641425906954,940.1145608477054,137.52632259372356,-7498397857.142858,2392.1725463867188
2393.47998046875,2466.969970703125,2319.780029296875,2409.389892578125,7956100000,2397.4049682617188,-52.81275338701971,19.383223926444472,-294.5444329432462,-77.45796758967492,1006.0391796015756,138.2165810803326,-7738702142.857142,2397.4049682617188
2431.93994140625,2453.010009765625,2295.56005859375,2304.919921875,9053950000,2371.3574829101562,-49.27349550424151,18.763214578582748,-308.94970977185267,-73.4905955346251,1025.3636707167188,139.59039322972848,-9081526428.571428,2371.3574829101562
2290.7099609375,2300.72998046875,2191.860107421875,2237.39990234375,7411380000,2255.1749877929688,-45.16236425843772,16.264221343610345,-329.0248003720426,-74.852548907852,1041.638274646546,142.44089196248225,-11409200000.0,2255.1749877929688
2344.43994140625,2449.7099609375,2344.43994140625,2447.330078125,7563150000,2396.47998046875,-22.964359838246764,28.701850034097703,-331.3051794395924,-61.706342380321416,945.5120037283723,146.16189776120004,-13559007142.857143,2396.47998046875
2457.77001953125,2571.419921875,2407.530029296875,2475.56005859375,8300010000,2478.0700073242188,5.050853611726325,34.730258479498204,-324.0511946664751,-43.56188608576332,806.9748475995757,148.21747230727505,-14717435714.285715,2478.0700073242188
2501.2900390625,2637.010009765625,2500.719970703125,2630.070068359375,7766990000,2567.2725219726562,33.67825427088064,40.639684670334894,-308.30248228965365,-22.25053896715349,676.1665613620344,148.98336731685586,-14852847857.142857,2567.2725219726562
2555.8701171875,2615.909912109375,2520.02001953125,2541.469970703125,6201670000,2558.3175048828125,50.80436467380741,40.24574708513914,-294.15396652380286,-6.481618561042126,605.6638058653116,145.19097626408936,-14828287142.857143,2558.3175048828125
2558.97998046875,2631.800048828125,2545.280029296875,2626.64990234375,5751120000,2590.677490234375,71.82160422725201,42.41790372859456,-277.8284875331342,7.875088343701236,503.7139728400671,141.0001936403151,-14938792142.857143,2590.677490234375
2614.68994140625,2641.389892578125,2571.14990234375,2584.590087890625,6576210000,2602.9549560546875,89.26286469551906,43.2606403195555,-261.5489025128304,19.323738691204028,417.21349837345315,135.94589339703367,-14048767857.142857,2602.9549560546875
2498.080078125,2522.75,2447.489990234375,2470.5,5964000000,2484.7050170898438,83.54483063650741,37.55905176540715,-256.74081283245505,19.305462697263522,407.1678432301669,137.3401128558393,-12952542857.142857,2484.7050170898438
2458.5400390625,2533.219970703125,2455.7900390625,2526.89990234375,6464190000,2493.6124877929688,84.05249951666929,38.21958084469209,-250.40206335905214,20.51536973653316,374.58736238343045,133.0608141976097,-11987380714.285715,2493.6124877929688
2514.919921875,2538.179931640625,2459.9599609375,2488.64990234375,6096970000,2500.4274291992188,74.59229203833138,38.75340327784783,-243.0194301164006,22.318402383347802,376.2133358633446,129.1436110908608,-10029188571.428572,2500.4274291992188
2578.280029296875,2676.85009765625,2574.570068359375,2663.679931640625,6403840000,2623.3450317382812,74.27829634067939,47.55543788404767,-224.73972937068584,32.47848250325006,408.6911048069678,132.52068661701583,-8211454285.714286,2623.3450317382812
2738.64990234375,2756.889892578125,2657.669921875,2659.409912109375,7050410000,2703.1549072265625,71.9919385691951,52.34440888203817,-201.31121395627906,44.72559833412549,455.6729310781202,132.5938419186464,-5261597857.142858,2703.1549072265625
2685.0,2760.75,2663.300048828125,2749.97998046875,5875710000,2714.7575073242188,68.14069234683666,53.01610697653838,-179.6951067048485,53.07336446844485,488.78122490045007,130.08356400816274,-2460340714.285714,2714.7575073242188
2776.989990234375,2818.570068359375,2762.360107421875,2789.820068359375,7899550000,2786.93505859375,64.38813994510429,57.069832520198766,-154.45152769256083,62.65355478458605,526.2123830915461,128.20706379580514,1551880714.2857144,2786.93505859375
2782.4599609375,2782.4599609375,2721.169921875,2761.6298828125,5319530000,2761.929931640625,47.3313601087666,55.29006194477829,-134.80447867714292,65.84048304000316,450.89237482501085,123.74692614744406,5713520000.0,2761.929931640625
2805.10009765625,2851.85009765625,2805.10009765625,2846.06005859375,5615730000,2827.027587890625,41.84564869675705,58.88490317362301,-112.08112396407842,70.85107020245414,457.5960174850579,121.33072899517127,9736057857.142857,2827.027587890625
2795.639892578125,2801.8798828125,2761.5400390625,2783.360107421875,5208000000,2785.60498046875,36.25451448017657,55.80991284868298,-96.2048347512191,69.38188753225077,457.5285309387573,117.34193041181082,12793737857.142857,2785.60498046875
2799.340087890625,2806.510009765625,2764.320068359375,2799.550048828125,5228810000,2792.4300537109375,35.274073042883174,56.21562082983964,-81.8961749201776,66.95243789063383,473.50421259134873,111.9739311971279,15670119285.714285,2792.4300537109375
