EMA_SMA_Diff_Close,RSI_Close,MACD_Close,MACD_Diff_Close,Bollinger_BB_Close,ATR_Close,OBV14_Close,Target_Close
-21.900586095162907,37.55572452250022,-203.2591908524446,-60.513214672087116,740.5340585332106,122.54478367487498,-8529562857.142858,2711.02001953125
-37.91404124527253,30.059847665202554,-238.7479936140303,-76.80161394693823,888.3981239964378,137.36873327845532,-11726938571.428572,2386.1298828125
-36.71313145832801,36.10719366445946,-254.17307363917553,-73.78135517766677,909.9723431856391,140.90595894271743,-13934678571.428572,2529.18994140625
-48.025753969613106,33.26857066855959,-276.7248668311845,-77.0665186957406,994.6778030877667,148.6033848664519,-16266317857.142857,2398.10009765625
-53.353900278129004,33.75161939197777,-292.66436727830296,-74.40481531428725,1048.3111351549223,148.5024246192946,-17417552142.857143,2409.389892578125
-49.53495715696772,31.48073279104804,-313.09136670245107,-75.86545179074827,1069.2585409617232,149.14153365876464,-19671306428.57143,2304.919921875
-49.13014971833036,30.072432833774513,-333.8919036327011,-77.3327909767986,1106.6723071223641,146.56426800121895,-21998980000.0,2237.39990234375
-19.43511320082689,39.18221378401972,-330.7834210366432,-59.37944670459257,976.6368955126527,151.26039590068544,-24148787142.857143,2447.330078125
6.966619340533725,40.30835652864364,-323.7123608597508,-41.84670922216014,854.3904344768735,152.16250280621685,-25307215714.285713,2475.56005859375
40.95213292065,46.18216503345934,-302.4468026200643,-16.464920785978904,724.6415035313712,152.82589197519243,-25442627857.142857,2630.070068359375
52.052187305411735,43.536573702885505,-290.69064094024543,-3.767007284928013,683.2876198746762,149.77047460754474,-25418067142.857143,2541.469970703125
78.58922546379745,46.6979772082134,-271.7776596829135,12.11677917792315,565.8668662782984,145.5247320016487,-25528572142.857143,2626.64990234375
91.35766378923472,45.34782143240858,-258.11505497048756,20.6235071122793,507.66271938626505,140.14725044684343,-25578006428.57143,2584.590087890625
78.2298750700902,41.8160389586975,-255.12965402516966,18.887126446077787,507.8247828193271,139.92959667608676,-25421240000.0,2470.5
86.8961744655071,44.13243279171415,-246.1837131705879,22.266453840527674,444.53284674380575,135.46533488783948,-25395536428.57143,2526.89990234375
70.58619672055238,42.88546004910477,-240.5853855300079,22.291825184886193,435.0947047084501,131.37638030321702,-25247798571.42857,2488.64990234375
76.52826944017806,49.86611627111205,-219.27076256074542,34.88515852331895,474.03133127666933,135.4352242324515,-25240518571.42857,2663.679931640625
70.76931393706809,49.70650455353646,-200.66819512026495,42.79018077103956,494.58738013959555,132.84842040892818,-25108317857.142857,2659.409912109375
69.70268670862833,53.13311571856481,-176.18793922199802,53.81634933544521,541.7400597593314,130.5978252290494,-25124716428.57143,2749.97998046875
60.538711711838005,54.59847369910235,-151.40689569868164,62.877914287009276,542.734346508947,126.16870113344764,-23930150714.285713,2789.820068359375
41.41053815249188,53.32791542467248,-132.43747959000302,65.47786431655032,441.8137733942349,122.06023294422816,-22586167142.857143,2761.6298828125
40.06176373885637,56.58646044017302,-108.61028804266061,71.44404469111419,472.9914264026902,119.78594593705114,-21381285000.0,2846.06005859375
33.23039915589334,53.59394470569469,-93.69069582362317,69.0909095281213,464.60722416876797,117.26695119377963,-21141260714.285713,2783.360107421875
36.41711788451221,54.266489492106885,-79.37512659138929,66.72518300828415,487.8435801702799,111.90430763752751,-21082535000.0,2799.550048828125
35.879744121562,57.3505217251556,-60.540615809960855,68.44775503177007,512.4929465816731,109.60185151163269,-20166203571.42857,2874.56005859375
35.144100643821275,54.631830176866856,-49.06379641985768,63.93965953749861,525.6298870492465,105.6395854717393,-20034140000.0,2823.159912109375
24.269803286772913,50.30498760191396,-46.794326460587854,52.967303597414755,510.0634436935088,104.95531611326685,-19798133571.42857,2736.56005859375
9.13331100701862,53.19750265721823,-39.18067561697035,48.464763552825815,439.41386179947494,103.06851060964064,-18772918571.42857,2799.31005859375
-3.181419011550588,53.117380951355486,-32.7772057638831,43.89458672473046,376.2316494456536,99.32360932167524,-18621826428.57143,2797.800048828125
-16.75576147853735,54.99962235259094,-23.901554642176507,42.21619027714965,240.868002990288,95.86834802526093,-17650750000.0,2836.739990234375
-16.749286203645624,56.99280153500719,-12.794938022698261,42.65824551730232,223.191927860742,92.66203605693872,-16765381428.571428,2878.47998046875
-20.02853874256425,56.026641906233934,-4.847710908903537,40.48437810487764,174.75285700158202,90.36045786760381,-15782923571.428572,2863.389892578125
-13.631735762528933,59.73474419373828,8.358474296969689,42.952450648600696,206.5084313057614,90.43972622304283,-14745470714.285715,2939.510009765625
-8.723552969637694,57.86528780293501,16.86851839393512,41.1699957964529,221.6796130248622,87.33974856871835,-14739770000.0,2912.429931640625
-12.7099475439245,52.52329535771987,16.701171216775037,32.802118895434255,207.46955799063016,87.58832540086347,-14694089285.714285,2830.7099609375
-10.047285406743413,53.208119119363054,17.50377727930436,26.88377996637086,207.33673863935383,84.64558019923929,-14711251428.571428,2842.739990234375
-10.595643771781852,54.71105601041192,20.28977912091068,23.735825446381746,200.58628770163614,82.56303805889183,-13989250000.0,2868.43994140625
-11.964081977583191,53.275517649905176,20.728009774154543,19.339244879700487,194.69171208240004,79.76997856026563,-13990204285.714285,2848.419921875
-6.229011021196584,55.34110954303739,23.80674774753834,17.934386282467425,195.89634784569444,77.89355152024666,-14035874285.714285,2881.18994140625
-1.9839998418824507,58.286932953966605,30.423656839706382,19.641036299708375,211.2284075214593,75.97043860473796,-13359782857.142857,2929.800048828125
-5.482178118172669,58.310686398465656,35.736760565507666,19.963312020407727,179.24176511658607,73.4589828896674,-11973638571.428572,2930.18994140625
