Open,High,Low,Close,Volume,Avg_Price,EMA_SMA_Diff_Close,RSI_Close,MACD_Close,MACD_Diff_Close,Bollinger_BB_Close,ATR_Close,OBV14_Close,Target_Close
2569.989990234375,2711.330078125,2492.3701171875,2711.02001953125,8299070000,2621.1775512695312,-21.900586095162907,37.55572452250022,-203.2591908524446,-60.513214672087116,740.5340585332106,122.54478367487498,-8529562857.142858,2711.02001953125
2508.590087890625,2562.97998046875,2380.93994140625,2386.1298828125,7805450000,2459.6599731445312,-37.91404124527253,30.059847665202554,-238.7479936140303,-76.80161394693823,888.3981239964378,137.36873327845532,-11726938571.428572,2386.1298828125
2425.659912109375,2553.929931640625,2367.0400390625,2529.18994140625,8370250000,2468.9549560546875,-36.71313145832801,36.10719366445946,-254.17307363917553,-73.78135517766677,909.9723431856391,140.90595894271743,-13934678571.428572,2529.18994140625
2436.5,2453.570068359375,2280.52001953125,2398.10009765625,8799300000,2392.1725463867188,-48.025753969613106,33.26857066855959,-276.7248668311845,-77.0665186957406,994.6778030877667,148.6033848664519,-16266317857.142857,2398.10009765625
2393.47998046875,2466.969970703125,2319.780029296875,2409.389892578125,7956100000,2397.4049682617188,-53.353900278129004,33.75161939197777,-292.66436727830296,-74.40481531428725,1048.3111351549223,148.5024246192946,-17417552142.857143,2409.389892578125
2431.93994140625,2453.010009765625,2295.56005859375,2304.919921875,9053950000,2371.3574829101562,-49.53495715696772,31.48073279104804,-313.09136670245107,-75.86545179074827,1069.2585409617232,149.14153365876464,-19671306428.57143,2304.919921875
2290.7099609375,2300.72998046875,2191.860107421875,2237.39990234375,7411380000,2255.1749877929688,-49.13014971833036,30.072432833774513,-333.8919036327011,-77.3327909767986,1106.6723071223641,146.56426800121895,-21998980000.0,2237.39990234375
2344.43994140625,2449.7099609375,2344.43994140625,2447.330078125,7563150000,2396.47998046875,-19.43511320082689,39.18221378401972,-330.7834210366432,-59.37944670459257,976.6368955126527,151.26039590068544,-24148787142.857143,2447.330078125
2457.77001953125,2571.419921875,2407.530029296875,2475.56005859375,8300010000,2478.0700073242188,6.966619340533725,40.30835652864364,-323.7123608597508,-41.84670922216014,854.3904344768735,152.16250280621685,-25307215714.285713,2475.56005859375
2501.2900390625,2637.010009765625,2500.719970703125,2630.070068359375,7766990000,2567.2725219726562,40.95213292065,46.18216503345934,-302.4468026200643,-16.464920785978904,724.6415035313712,152.82589197519243,-25442627857.142857,2630.070068359375
2555.8701171875,2615.909912109375,2520.02001953125,2541.469970703125,6201670000,2558.3175048828125,52.052187305411735,43.536573702885505,-290.69064094024543,-3.767007284928013,683.2876198746762,149.77047460754474,-25418067142.857143,2541.469970703125
2558.97998046875,2631.800048828125,2545.280029296875,2626.64990234375,5751120000,2590.677490234375,78.58922546379745,46.6979772082134,-271.7776596829135,12.11677917792315,565.8668662782984,145.5247320016487,-25528572142.857143,2626.64990234375
2614.68994140625,2641.389892578125,2571.14990234375,2584.590087890625,6576210000,2602.9549560546875,91.35766378923472,45.34782143240858,-258.11505497048756,20.6235071122793,507.66271938626505,140.14725044684343,-25578006428.57143,2584.590087890625
2498.080078125,2522.75,2447.489990234375,2470.5,5964000000,2484.7050170898438,78.2298750700902,41.8160389586975,-255.12965402516966,18.887126446077787,507.8247828193271,139.92959667608676,-25421240000.0,2470.5
2458.5400390625,2533.219970703125,2455.7900390625,2526.89990234375,6464190000,2493.6124877929688,86.8961744655071,44.13243279171415,-246.1837131705879,22.266453840527674,444.53284674380575,135.46533488783948,-25395536428.57143,2526.89990234375
2514.919921875,2538.179931640625,2459.9599609375,2488.64990234375,6096970000,2500.4274291992188,70.58619672055238,42.88546004910477,-240.5853855300079,22.291825184886193,435.0947047084501,131.37638030321702,-25247798571.42857,2488.64990234375
2578.280029296875,2676.85009765625,2574.570068359375,2663.679931640625,6403840000,2623.3450317382812,76.52826944017806,49.86611627111205,-219.27076256074542,34.88515852331895,474.03133127666933,135.4352242324515,-25240518571.42857,2663.679931640625
2738.64990234375,2756.889892578125,2657.669921875,2659.409912109375,7050410000,2703.1549072265625,70.76931393706809,49.70650455353646,-200.66819512026495,42.79018077103956,494.58738013959555,132.84842040892818,-25108317857.142857,2659.409912109375
2685.0,2760.75,2663.300048828125,2749.97998046875,5875710000,2714.7575073242188,69.70268670862833,53.13311571856481,-176.18793922199802,53.81634933544521,541.7400597593314,130.5978252290494,-25124716428.57143,2749.97998046875
2776.989990234375,2818.570068359375,2762.360107421875,2789.820068359375,7899550000,2786.93505859375,60.538711711838005,54.59847369910235,-151.40689569868164,62.877914287009276,542.734346508947,126.16870113344764,-23930150714.285713,2789.820068359375
2782.4599609375,2782.4599609375,2721.169921875,2761.6298828125,5319530000,2761.929931640625,41.41053815249188,53.32791542467248,-132.43747959000302,65.47786431655032,441.8137733942349,122.06023294422816,-22586167142.857143,2761.6298828125
2805.10009765625,2851.85009765625,2805.10009765625,2846.06005859375,5615730000,2827.027587890625,40.06176373885637,56.58646044017302,-108.61028804266061,71.44404469111419,472.9914264026902,119.78594593705114,-21381285000.0,2846.06005859375
2795.639892578125,2801.8798828125,2761.5400390625,2783.360107421875,5208000000,2785.60498046875,33.23039915589334,53.59394470569469,-93.69069582362317,69.0909095281213,464.60722416876797,117.26695119377963,-21141260714.285713,2783.360107421875
2799.340087890625,2806.510009765625,2764.320068359375,2799.550048828125,5228810000,2792.4300537109375,36.41711788451221,54.266489492106885,-79.37512659138929,66.72518300828415,487.8435801702799,111.90430763752751,-21082535000.0,2799.550048828125
